"order_num","detail_no","description","quantity","unit_price","amount"
"140189","1","付款折扣","0","0","-509"
"140189","2","御護 晶晰金盞花葉黃素升級配方 60粒","1","1499","1499"
"140189","3","(數位印花貼紙)御護2025集點活動","3","0","0"
"140193","1","※桂格完膳營養素-100鉻配方(糖適用無糖)","5","75","375"
"140194","1","御護 左旋麩醯胺酸15包/盒","1","999","999"
"140194","2","(紅標)好立善 綜合維他命發泡錠20錠/條","1","139","139"
"140194","3","OptiFibre纖維佳14包/盒","1","499","499"
"140194","4","(數位印花貼紙)御護2025集點活動","2","0","0"
"140199","1","NUCARE  可倍力營養飲(咖啡風味) 200ml","2","57","114"
"140199","2","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","57"
"140200","1","付款折扣","0","0","-206"
"140200","2","娘家大紅麴膠囊30粒3入特規組","3","6600","19800"
"140200","3","特復益® ALA300膜衣錠(60粒/盒)","1","2412","2412"
"140200","4","新越莓兮錠罐裝(120錠)","4","2250","7500"
"140200","5","醫之方舒暢益生菌plus(33包)","8","726","5708"
"140201","1","優護典雅複合植毛牙刷  1  入(12入 / 盒)","1","53","29"
"140201","2","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","57"
"140202","1","御護 左旋麩醯胺酸 3件組 (2罐+1盒) 特規組","1","4300","4200"
"140202","2","(數位印花貼紙)御護2025集點活動","8","0","0"
"140203","1","付款折扣","0","0","-21"
"140203","2","優寶滴 D3","1","1944","1944"
"140205","1","付款折扣","0","0","-100"
"140205","2","※福惜素15G/包*15/盒","2","1350","2700"
"140205","3","益富益力壯高效魚油優蛋白配方(果汁牛奶風味)","6","99.8333","599"
"140208","1","惠幼|加纖無糖 棗露|330ml","1","88","88"
"140211","1","※益腹寧膠囊20入(OTC)","2","540","1080"
"140218","1","(紅標)小安素均衡完整營養品即飲配方220ml","1","71","71"
"140218","2","NUCARE  可倍力營養飲(草莓風味) 200ml","2","57","114"
"140219","1","BD胰島素空針 30U / 30G / 0.3c.c / 短針8mm","10","7","70"
"140219","2","橡皮管(條) 5mm/1.2呎","1","16","16"
"140224","1","付款折扣","0","0","-200"
"140224","2","桂格未洗腎適用完膳營養素","24","97.92","2169"
"140224","3","202504桂格完膳-可收納便利休閒摺疊桌","1","0","0"
"140224","4","桂格未洗腎適用完膳營養素","28","97.92","2531"
"140225","1","杏輝金碘500ml(OTC.)","1","252","252"
"140231","1","滅菌棉墊(12.5*20cm)(中國衛材)","1","27","27"
"140231","10","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"140231","2","杏輝金碘120ml(OTC.)","1","72","72"
"140231","3","台裕潔膚生理食鹽水","2","58","116"
"140231","4","滅菌棉棒(沖洗)(6入)(鈺弘)","3","6","18"
"140231","5","滅菌棉棒(口腔)(10入)(鈺弘)","2","4","8"
"140231","6","3M紙膠(1吋/2入)1530PP-12","1","48","48"
"140231","7","3M紙膠(白/1吋/含切台)1535SPC","1","42","42"
"140231","8","滅菌不織布(10*10cm)(4入)(鈺弘)","4","10","40"
"140231","9","滅菌紗布(10*10cm)(10入)(10包/盒)(雅保Abena)","5","14","70"
"140232","1","付款折扣","0","0","-30"
"140232","2","※桂格活靈芝禮盒8瓶/盒","1","459","459"
"140234","1","御護 極臻淬燜雞精禮盒(8入)","1","1080","1080"
"140244","1","優護牙間刷 (3 S / 1.0mm)10入","1","140","99"
"140244","2","長庚生技 螫合礦物維他命C","1","378","378"
"140248","1","亞培倍力素癌症專用液體營養品(莓果口味)","24","228.125","5475"
"140248","2","(贈罐)亞培倍力素(莓果口味)220ml","3","0","0"
"140248","3","(數位印花貼紙)倍力素配方集點","1","0","0"
"140252","1","14603新象浮動環  57 mm5片/盒","2","225","450"
"140253","1","付款折扣","0","0","-150"
"140253","2","補體素-優蛋白 無糖不甜 (增強體力配方)","36","59.6153","2146"
"140253","3","桂格(袋)黑穀珍寶-營養穀珍","1","99","99"
"140253","4","(紅標)好健康背心袋 - 小(新版)","1","1","1"
"140253","5","補體素-優蛋白 無糖不甜 (增強體力配方)","16","59.6153","954"
"140254","1","益力壯Plus經典(高氮經典粉狀均衡配方)800g","12","775","9300"
"140254","2","補體素-80 純乳清蛋白 (粉狀) 500公克","3","738","2214"
"140254","3","優護潔膚抑菌柔濕巾 ( 50 抽 / 包，20 * 30cm )","1","0","0"
"140255","1","付款折扣","0","0","-50"
"140255","2","益力壯Plus優纖營養均衡配方(液體原味)","28","56.25","1350"
"140257","1","亞培原味安素均衡營養升級配方","24","70.8333","1700"
"140258","1","渡邊維他命B群 120錠/瓶","1","306","306"
"140265","1","付款折扣","0","0","-200"
"140265","2","Max Plus吉易試片","1","840","840"
"140265","3","(數位印花貼紙)瑞特血糖試紙集點","3","0","0"
"140265","4","瑞特採血針(50支入)","4","90","276"
"140265","5","Max Plus吉易試片","1","840","840"
"140265","6","Max Plus吉易試片","1","840","840"
"140266","1","加強型束腹帶L (Medfirst)(538)","1","585","585"
"140266","2","亞培原味安素均衡營養升級配方","1","80","80"
"140266","3","※桂格完膳營養素(原味含纖配方)","2","59","118"
"140266","4","舒潔棉柔舒適抽取衛生紙加量包  100  抽","1","18","18"
"140267","1","完膳癌症EPA盒裝6罐(237ML/禮盒)","1","978","978"
"140269","1","亞培安素均衡營養升級配方(香草減甜口味","1","80","80"
"140269","2","亞培安素均衡營養升級配方(草莓減甜口味)","1","80","80"
"140270","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140270","2","Happy Hours生機纖果飲(蘋果/桃子/芒果)","1","71","59"
"140270","3","Happy Hours生機纖果飲(蘋果/藍莓/草莓)","1","71","59"
"140271","1","※元氣強  24g/包*30包/盒","1","870","870"
"140271","2","麥迪森可清沖洗用食鹽水(15ML*8支/包)","6","89","534"
"140271","3","滅菌紗布(7.5*7.5cm)(2入)(50包/盒)(雅保Abena)","50","6","300"
"140271","4","滅菌棉棒(普通)(10入)(鈺喜)","30","4","120"
"140271","5","滅菌紗布(7.5*7.5cm)(2入)(中國衛材)","20","6","120"
"140271","6","滅菌紗布(5*5cm)(4入)(中國衛材)","50","7","350"
"140271","7","(紅標)好健康背心袋 - 中(新版)","1","2","2"
"140276","1","付款折扣","0","0","-318"
"140276","2","惠幼|加纖無糖 棗露|330ml","4","99","396"
"140277","1","※快凝寶晶澈配方","1","492","492"
"140278","1","※亞培倍力素(經典香草)","24","228.125","5475"
"140278","2","亞培安素Plus Advance均衡營養升級即飲EX配方","2","130","260"
"140278","3","(贈罐)亞培倍力素(經典香草)220ml","3","0","0"
"140278","4","(數位印花貼紙)倍力素配方集點","1","0","0"
"140280","1","付款折扣","0","0","-200"
"140280","2","綠的植物抗菌潔手慕斯-開心花園","4","143","396"
"140280","3","松瑞-維他泡泡 葉黃素+鳳梨酵素 發泡含片","1","197","197"
"140280","4","松瑞-維他泡泡  CB群+薑黃 發泡含片","1","98","98"
"140280","5","御護 益添C維他命發泡錠(C500+B群)柑橘風味","1","199","199"
"140280","6","天天Bikini女神褲-日夜褲型衛生棉M (3片/包)","1","116","65"
"140280","7","天天Bikini女神褲-日夜褲型衛生棉L (3片/包)","1","116","64"
"140281","1","益富益力勝勝後18蛋白質管理配方","6","82","459"
"140281","2","倍速力腎臟病專用配方-洗腎200ml(熱帶水果)","4","109","436"
"140281","3","※完膳透析液配方(腎藏病專用)","2","108","216"
"140282","1","補體素優蛋白(大麥風味) 即飲配方食品","1","72","72"
"140286","1","NUCARE  可倍力營養飲(咖啡風味) 200ml","1","63","39"
"140286","2","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","1","63","39"
"140287","1","亞培原味安素均衡營養升級配方","1","97","97"
"140287","2","(包)舒潔好絨軟抽取衛生紙-棉花萃取精華乳 90抽","1","20","20"
"140288","1","佳倍優褐速康褐藻醣膠 無糖配方","4","153","612"
"140290","1","新鐵多滴液(兒童)","1","1580","1580"
"140292","1","寶乖亞+D滴劑10ml/瓶*3瓶/組(紅標)","1","4375","4375"
"140294","1","身可補電解質發泡錠(20錠)","1","150","150"
"140296","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140296","2","速養遼280g體驗瓶","1","2990","2990"
"140297","1","刻利淨檢查食-CT腸保組(促銷組合)","1","882","882"
"140299","1","付款折扣","0","0","-30"
"140299","2","優晶亮魚油軟膠囊","1","1000","1000"
"140300","1","芝初8倍細高鈣黑芝麻粉380g(節日版)","1","269","269"
"140300","2","202504 SP2  好眠芝援 3 入體驗包","1","0","0"
"140301","1","芝初高鈣黑芝麻粉380g","1","299","299"
"140301","2","202504 SP2  好眠芝援 3 入體驗包","1","0","0"
"140304","1","付款折扣","0","0","-16"
"140304","2","(杏)御護xHAC-維他命C+蔓越莓複方錠 90 錠 3盒特規組","1","1980","1880"
"140304","3","(數位印花貼紙)御護2025集點活動","3","0","0"
"140305","1","※維維樂佳倍優元氣補高鈣原味配方(液)","27","57","1350"
"140306","1","倍速定糖尿病專用配方_卡布奇諾","1","89","89"
"140306","2","※維維樂佳倍優鉻100原味配方(液)","1","73","73"
"140307","1","付款折扣","0","0","-300"
"140307","2","亞培安素均衡營養升級即飲配方香草減甜口味","48","79.1666","3800"
"140307","3","(數位印花貼紙)安素配方集點","2","0","0"
"140309","1","福爾MD6尿酸試片25入","1","630","630"
"140309","2","CSD中衛酒精不織布片100片/#3032/(40盒/箱)","1","72","72"
"140311","1","7日組合式保健盒","1","107","107"
"140312","1","付款折扣","0","0","-200"
"140312","2","關立固貼心寵愛禮Q2","1","10500","10500"
"140314","1","付款折扣","0","0","-700"
"140314","2","(耗材組)ifree CGM安活連續葡萄糖監測系統(Sensor KIT)","3","1400","4200"
"140314","3","(紅標)好健康背心袋 - 小(新版)","1","1","1"
"140317","1","桂格康研家舒敏益生菌30包","2","990","1921"
"140317","2","桂格康研家消化菌粉盒裝30包","2","799","1357"
"140317","3","桂格康研家關鍵導鈣雙效錠30顆","2","0","0"
"140318","1","亞培安素均衡營養升級配方(香草減甜口味","24","70.8333","1700"
"140322","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140323","1","益富易能充900g罐裝","3","499.6667","1499"
"140323","2","※普拿疼伏冒加強錠16入(OTC)(紅標)","1","290","290"
"140326","1","妙可適滴液(8g/瓶)","1","1215","1215"
"140329","1","益富益力壯20營養均衡配方(原味液體)","1","67","67"
"140333","1","安永鱸魚精(健康御品)6入/盒","1","1242","1242"
"140333","2","安永 - 綜合堅果海苔夾心","1","0","0"
"140334","1","補體素優蛋白EX(原味)即飲配方食品","1","89","89"
"140335","1","付款折扣","0","0","-150"
"140335","2","益富益力壯20營養均衡配方(原味液體)","56","57.1429","3200"
"140335","3","滅菌紗布(7.5*7.5cm)(10入)(中國衛材)","10","14","140"
"140336","1","御護 優酵高機能益生菌 6 入","1","180","180"
"140338","1","付款折扣","0","0","-18"
