"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"22135548","31-35歲","女","新北市","物質享樂衝購族"
"0be95150","51-55歲","女","台北市","健康愛家定存控"
"08c2fe35","41-45歲","男","新北市","健康愛家定存控"
"6a956754","36-40歲","女","新竹縣","品味養生理財貴族"
"3c63fa21","31-35歲","女","嘉義縣","物質享樂衝購族"
"fa06c3d1","31-35歲","女","台北市","健康愛家定存控"
"4d7dce71","31-35歲","女","雲林縣","物質享樂衝購族"
"c8495fd7","56-60歲","女","台中市","運動科技潮人"
"60066ecc","61-65歲","女","新竹市","愛搜愛比網購客"
"8245504d","41-45歲","女","新北市","愛搜愛比網購客"
"d0c48090","46-50歲","女","桃園市","物質享樂衝購族"
"bab9370b","56-60歲","女","南投縣","愛搜愛比網購客"
"56b52b71","26-30歲","男","新竹市","運動科技潮人"
"7723f5be","41-45歲","女","台中市","樂動廣告品牌控"
"4e9ce037","46-50歲","女","台南市","品味養生理財貴族"
"9a338ef2","31-35歲","女","新竹縣","獨立愛遊理財新手"
"05eee137","46-50歲","男","台北市","運動科技潮人"
"0848420c","41-45歲","男","新竹市","網購社媒手機迷"
"c01488fa","61-65歲","男","新竹市","健康愛家定存控"
"63d49b2d","26-30歲","男","新北市","樂動廣告品牌控"
"ad794c3e","31-35歲","女","新北市","獨立愛遊理財新手"
"bc15f88f","56-60歲","女","苗栗縣","健康愛家定存控"
"84b508aa","26-30歲","女","苗栗縣","網購社媒手機迷"
"4cab8c6c","51-55歲","男","台中市","樂動廣告品牌控"
"8fc6762e","41-45歲","女","雲林縣","健康愛家定存控"
"675c8e63","56-60歲","女","台中市","品味養生理財貴族"
"6d8f72ee","41-45歲","女","台北市","獨立愛遊理財新手"
"4b9d828d","31-35歲","女","台南市","物質享樂衝購族"
"6524278b","56-60歲","男","台中市","樂動廣告品牌控"
"607b07aa","51-55歲","女","桃園市","健康愛家定存控"
"33a7c007","46-50歲","男","台中市","健康愛家定存控"
"b8c2e085","41-45歲","男","花蓮縣","獨立愛遊理財新手"
"58d40043","31-35歲","女","新竹縣","物質享樂衝購族"
"d6ec30f7","46-50歲","女","台中市","物質享樂衝購族"
"d50c9e08","61-65歲","女","台中市","健康愛家定存控"
"ba2e762c","51-55歲","男","新北市","愛搜愛比網購客"
"1a4cd67e","46-50歲","女","台南市","網購社媒手機迷"
"3b08a1b9","41-45歲","女","台中市","運動科技潮人"
"6db4d960","41-45歲","女","新北市","網購社媒手機迷"
"c5777da6","31-35歲","男","台中市","樂動廣告品牌控"
"cf75de78","31-35歲","女","花蓮縣","網購社媒手機迷"
"ba91040b","46-50歲","男","彰化縣","健康愛家定存控"
"1fd99de9","36-40歲","女","高雄市","樂動廣告品牌控"
"d670322c","26-30歲","女","台北市","物質享樂衝購族"
"3f18454f","41-45歲","女","桃園市","愛搜愛比網購客"
"05f873f6","61-65歲","女","新北市","愛搜愛比網購客"
"7e85e896","41-45歲","女","新北市","品味養生理財貴族"
