"order_num","detail_no","description","quantity","unit_price","amount"
"2385","4","總折價","1","-84","-84"
"2370","1","Canary好舒爽白樺無塵木屑-清香1KG M-C582","1","90","90"
"2375","2","OzBone卡賀家犬零食-香脆純雞胸片120g","1","245","245"
"2347","6","日日好極細豆腐貓砂-洋甘菊7L","1","430","430"
"2319","3","其他支付媒體","1","0","0"
"2322","9","CIAO啾嚕肉泥-化毛配方(雞肉)14g*4入","1","100","100"
"2354","2","Astar Bones美國多效雙頭潔牙骨SS240g","1","199","199"
"2286","9","紐崔克-棒棒糖犬點心-煙燻牛肉/支","2","32","64"
"2370","3","其他支付媒體","1","0","0"
"2285","7","總折價","1","-385","-385"
"2381","1","冠能成犬鮮雞活力配方 3kg","1","1160","1160"
"2257","5","總折價","1","-86","-86"
"2324","1","冠能-挑嘴成貓鮭魚潤毛配方1.5kg","1","920","920"
"2257","3","快吃丼飯 起司羊肉丼 #5","1","47","47"
"2267","2","關節養護(培根牛+葉綠素)每日潔雙色螺旋保健潔牙骨-290G","1","320","320"
"2275","9","紐崔克貓罐(湯罐)鮪魚+吻仔魚80g","1","39","39"
"2314","3","其他支付媒體","1","0","0"
"2290","10","汪喵-狗狗90%鮮食閃亮羊腿主食餐包150g","1","85","85"
"2396","10","CIAO啾嚕肉泥-鰹魚燒鰹魚肉塊14g*4入","2","100","200"
"2275","1","紐崔克貓罐(湯罐)鮪魚+蝦子80g","4","39","156"
"2286","10","紐崔克-棒棒糖犬點心-香濃起司/支","1","32","32"
"2270","1","包月/美容服務","1","700","700"
"2268","2","好味小姐1+1肉泥主食罐-香嫩鴨胸81g","1","70","70"
"2291","3","x益菌的革命-寵物除臭尿布墊S/100枚","2","450","900"
"2294","3","x益菌的革命-寵物除臭尿布墊S/100枚","2","450","900"
"2349","3","其他支付媒體","1","0","0"
"2396","14","CIAO啾嚕肉泥-鰹魚肉塊14g*4入","1","100","100"
"2394","3","CIAO啾嚕肉泥-雞肉+日本蟹14g*4入","2","100","200"
"2285","6","CIAO啾嚕肉泥-奢華鮪魚+龍蝦14g*4入","1","100","100"
"2283","12","汪喵-熟齡犬主食罐80g-鮭魚","2","56","112"
"2362","7","其他支付媒體","1","0","0"
"2304","6","CIAO啾嚕肉泥-鮪魚+柴魚片14g*4入","2","100","200"
"2290","5","其他支付媒體","1","0","0"
"2304","10","CIAO啾嚕幼貓肉泥-鮪魚14g*4入","1","100","100"
"2393","4","銀湯匙三星美食喵湯匙肉泥鮪魚海鮮風味10g*4","1","89","89"
"2290","13","比利時 咕咕氂牛起司棒 XS (27隻/盒)","1","80","80"
"2283","10","瑪恩吉倍愛滿滿犬餐盒-鱈魚100g","1","43","43"
"2362","3","MAMAMIA貓餐罐-鮮嫩純雞肉85g","6","24","144"
"2266","4","艾思柏純肉犬罐165g-嫩骨雞排丁","6","50","300"
"2399","4","其他支付媒體","1","0","0"
"2275","12","原燒貓罐(除毛球)雞肉+鮪魚+鮮蝦80g","2","29","58"
"2269","1","(珍)活力零食CR87起司雞肉小香腸200g","1","230","230"
"2401","10","總折價","1","-188","-188"
"2330","1","AFP清新系列-懸掛貓砂鏟","1","80","80"
"2404","4","其他支付媒體","1","0","0"
"2372","2","好味小姐1+1滴雞精貓肉泥主食罐-原野牛腿81g","1","70","70"
"2275","10","紐崔克貓罐(湯罐)鮪魚+干貝80g","1","39","39"
"2258","1","Astar Bones多效雙頭潔牙骨M240g","1","199","199"
"187","3","愛喜雅新金缶濃厚7號-鮪.牛70g","1","55","55"
"157","1","寵愛物語-輕植系貓砂(破碎型) 14lb","1","480","480"
"52","3","總折價","1","-131","-131"
"87","2","總折價","1","-150","-150"
"98","2","汪喵-點心罐80g-雞丁+燉南瓜","1","31","31"
"14","2","總折價","1","-410","-410"
"74","3","其他支付媒體","1","0","0"
"194","2","總折價","1","-61","-61"
"210","6","其他支付媒體","1","0","0"
"100","1","愛的獎勵-LOVE化骨鮮嫩雞腿1入80g","1","60","60"
"90","3","天然密碼永恆無穀主食罐雞+鰹魚+鳳梨80g","1","55","55"
"238","1","喵皇奴-GOOD！毛孩凍乾小零嘴（牛肉丁35g)","1","235","235"
"193","1","寵愛物語-腸胃保健貓飼料-體態管理4.5kg","1","780","780"
"186","4","其他支付媒體","1","0","0"
"126","3","其他支付媒體","1","0","0"
"205","2","Rrannk 機能貓肉泥-鮪魚+干貝口味","1","59","59"
"2545","1","CIAO啾嚕肉泥-下部尿路配慮(雞肉)14g*4入","1","110","110"
"2484","4","其他支付媒體","1","0","0"
"2569","7","A★star貓專用泌尿抵抗力貓草機能潔牙骨50g","1","72","72"
"2489","4","妍美?專利葉黃素滋養倍效膠囊EX","1","1980","1980"
"2489","5","總折價","1","-1689","-1689"
"2525","1","CIAO 啾嚕迷你捲心塊 (雞肉) 12g*3入","1","110","110"
"2516","15","總折價","1","-305","-305"
"2470","4","總折價","1","-109","-109"
"2607","1","肉球世界歪嘴貓主食罐鮪魚+褐藻糖膠80g","2","55","110"
"2594","11","瑪恩吉天然全能成貓泌尿保健配方(雞肉)1.5kg","1","833","833"
